txn_id,customer_id,loan_account_number,txn_date,txn_type,description,amount_inr,balance_after_inr,mode
TXN001,CUST001,KMPL-AC-2024-10001,2026-08-05,emi_debit,Monthly EMI - July cycle,-26850.00,892450.00,NACH
TXN002,CUST001,KMPL-AC-2024-10001,2026-07-05,emi_debit,Monthly EMI - June cycle,-26850.00,919400.00,NACH
TXN003,CUST001,KMPL-AC-2024-10001,2026-06-05,emi_debit,Monthly EMI - May cycle,-26850.00,946250.00,NACH
TXN004,CUST002,KMPL-AC-2024-10045,2026-08-08,emi_debit,Monthly EMI - July cycle,-9850.00,312800.00,NACH
TXN005,CUST002,KMPL-AC-2024-10045,2026-07-08,emi_debit,Monthly EMI - June cycle,-9850.00,322650.00,NACH
TXN006,CUST002,KMPL-AC-2024-10045,2026-06-08,emi_debit,Monthly EMI - May cycle,-9850.00,332500.00,NACH
TXN007,CUST003,KMPL-AC-2023-08892,2026-08-01,emi_debit,Monthly EMI - July cycle,-8750.00,245600.00,NACH
TXN008,CUST003,KMPL-AC-2023-08892,2026-07-01,emi_debit,Monthly EMI - June cycle,-8750.00,254350.00,NACH
TXN009,CUST003,KMPL-AC-2023-08892,2026-06-01,emi_debit,Monthly EMI - May cycle,-8750.00,263100.00,NACH
TXN010,CUST004,KMPL-AC-2025-10210,2026-08-14,emi_debit,Monthly EMI - July cycle,-31200.00,1425600.00,NACH
TXN011,CUST004,KMPL-AC-2025-10210,2026-07-14,emi_debit,Monthly EMI - June cycle,-31200.00,1457200.00,NACH
TXN012,CUST004,KMPL-AC-2025-10210,2026-06-14,emi_debit,Monthly EMI - May cycle,-31200.00,1489000.00,NACH
TXN013,CUST005,KMPL-AC-2024-10112,2026-08-05,emi_debit,Monthly EMI - July cycle,-14200.00,478900.00,NACH
TXN014,CUST005,KMPL-AC-2024-10112,2026-07-05,emi_debit,Monthly EMI - June cycle,-14200.00,493300.00,NACH
TXN015,CUST005,KMPL-AC-2024-10112,2026-06-05,emi_debit,Monthly EMI - May cycle,-14200.00,507500.00,NACH
TXN016,CUST006,KMPL-AC-2024-09987,2026-08-22,emi_debit,Monthly EMI - July cycle,-25400.00,756200.00,NACH
TXN017,CUST006,KMPL-AC-2024-09987,2026-07-22,emi_debit,Monthly EMI - June cycle,-25400.00,769800.00,NACH
TXN018,CUST006,KMPL-AC-2024-09987,2026-06-22,emi_debit,Monthly EMI - May cycle,-25400.00,783600.00,NACH
